sub_id,hf_match,target_shapes_match,nr_dists,t_d_ratio,mean_rt,pc
8.0,same,match,6.0,0.333333333333,733.54997372,0.928571428571
9.0,same,match,6.0,0.333333333333,740.871267478,1.0
10.0,same,match,6.0,0.333333333333,589.38790269,1.0
11.0,same,match,6.0,0.333333333333,750.217522799,0.875
12.0,same,match,6.0,0.333333333333,667.007556909,1.0
13.0,same,match,6.0,0.333333333333,625.51224545,1.0
14.0,same,match,6.0,0.333333333333,873.010937435,0.846153846154
15.0,same,match,6.0,0.333333333333,624.994231098,0.615384615385
1.0,same,match,10.0,0.2,764.164285667,0.941176470588
2.0,same,match,10.0,0.2,682.462241838,1.0
3.0,same,match,10.0,0.2,754.911880132,0.933333333333
4.0,same,match,10.0,0.2,681.734235616,0.857142857143
5.0,same,match,10.0,0.2,656.262692696,0.8125
6.0,same,match,10.0,0.2,666.810203307,0.875
7.0,same,match,10.0,0.2,672.178333111,1.0
8.0,same,match,10.0,0.2,654.505758376,1.0
9.0,same,match,10.0,0.2,707.506466033,1.0
10.0,same,match,10.0,0.2,608.687958544,0.833333333333
11.0,same,match,10.0,0.2,691.190788451,0.916666666667
12.0,same,match,10.0,0.2,645.757991072,0.923076923077
13.0,same,match,10.0,0.2,635.183644892,1.0
14.0,same,match,10.0,0.2,751.215191779,1.0
15.0,same,match,10.0,0.2,595.713912251,0.75
1.0,same,match,13.0,0.153846153846,669.814568367,1.0
2.0,same,match,13.0,0.153846153846,646.664285059,1.0
3.0,same,match,13.0,0.153846153846,741.452712553,0.928571428571
4.0,same,match,13.0,0.153846153846,750.593770198,1.0
5.0,same,match,13.0,0.153846153846,608.308537352,1.0
6.0,same,match,13.0,0.153846153846,697.742339741,1.0
7.0,same,match,13.0,0.153846153846,712.563345721,1.0
8.0,same,match,13.0,0.153846153846,712.424385422,1.0
9.0,same,match,13.0,0.153846153846,765.687938983,1.0
10.0,same,match,13.0,0.153846153846,565.170470601,0.875
11.0,same,match,13.0,0.153846153846,725.066993408,0.9
12.0,same,match,13.0,0.153846153846,606.866749628,1.0
13.0,same,match,13.0,0.153846153846,622.843329416,1.0
14.0,same,match,13.0,0.153846153846,788.706472417,1.0
15.0,same,match,13.0,0.153846153846,597.08752457,0.866666666667
1.0,diff,match,3.0,0.666666666667,737.412148151,0.857142857143
2.0,diff,match,3.0,0.666666666667,729.539132657,0.941176470588
3.0,diff,match,3.0,0.666666666667,722.750105969,0.923076923077
4.0,diff,match,3.0,0.666666666667,889.864789491,0.9375
5.0,diff,match,3.0,0.666666666667,618.346057384,1.0
6.0,diff,match,3.0,0.666666666667,727.902751612,0.866666666667
7.0,diff,match,3.0,0.666666666667,703.262972513,0.944444444444
8.0,diff,match,3.0,0.666666666667,820.712414987,0.888888888889
